year,rate
1970,0.004
1971,0.019
1972,0.021
1973,0.196
1974,0.224
1975,0.026
1976,-0.018
1977,0.032
1978,0.048
1979,0.04
1980,0.085
1981,0.082
1982,0.039
1983,0.012
1984,0.026
1985,0.005
1986,-0.014
1987,0.005
1988,0.015
1989,0.024
1990,0.034
1991,0.034
1992,0.023
1993,0.024
1994,0.031
1995,0.017
1996,0.014
1997,0.02
1998,-0.003
1999,0
2000,0.013
2001,0.01
2002,-0.004
2003,0.005
2004,0.017
2005,0.005
2006,0.01
2007,0.021
2008,0.066
2009,0.006
2010,0.028
2011,0.052
2012,0.046
2013,0.024
2014,0.01
2015,-0.005
2016,-0.005
2017,0.006
2018,0.004
2019,0.006
2020,-0.002
2021,0.023
2022,0.061
2023,0.048
2024,0.024
