year,usEquity,intlEquity,intlBonds,sgEquity,commodities,cash
1970,0.0356,-0.113,0.1289,0.05,0.1135,0.065
1971,0.1422,0.2913,0.0789,0.082,0.211,0.0434
1972,0.1876,0.371,0.0682,0.114,0.4202,0.0381
1973,-0.1431,-0.1492,0.0366,-0.415,0.7474,0.0691
1974,-0.259,-0.2215,0.0399,-0.33,0.3925,0.0793
1975,0.37,0.371,0.0561,0.408,-0.174,0.058
1976,0.2383,0.0374,0.1198,0.061,0.1133,0.0508
1977,-0.0698,0.1942,0.0529,0.182,0.1067,0.0512
1978,0.0651,0.343,0.0322,0.675,0.3155,0.0718
1979,0.1852,0.0618,0.0467,0.282,0.3387,0.1038
1980,0.3174,0.2443,-0.0299,0.565,0.1124,0.1124
1981,-0.047,-0.0103,0.082,-0.124,-0.231,0.1471
1982,0.2042,-0.0086,0.2581,0.042,0.081,0.1054
1983,0.2234,0.2461,0.032,0.387,0.1656,0.088
1984,0.0615,0.0786,0.1373,-0.021,0.0095,0.0985
1985,0.3124,0.5672,0.2571,-0.162,0.1116,0.0772
1986,0.1849,0.6994,0.2428,0.429,0.0252,0.0616
1987,0.0581,0.2493,0.0796,-0.114,0.2342,0.0547
1988,0.1654,0.2859,0.0822,0.364,0.2789,0.0635
1989,0.3148,0.108,0.1769,0.417,0.3811,0.0837
1990,-0.0306,-0.232,0.119,-0.057,0.2916,0.0781
1991,0.3023,0.125,0.162,0.248,-0.0626,0.056
1992,0.0749,-0.1185,0.0526,0.056,0.0413,0.0351
1993,0.0997,0.3294,0.13,0.684,-0.1216,0.029
1994,0.0133,0.0806,0.021,-0.056,0.0532,0.039
1995,0.372,0.1155,0.1958,0.087,0.2049,0.056
1996,0.2268,0.0636,0.044,-0.021,0.3309,0.0521
1997,0.331,0.0206,0.0276,-0.264,-0.1411,0.0526
1998,0.2834,0.2033,0.1531,-0.138,-0.3582,0.0486
1999,0.2089,0.273,-0.0467,0.782,0.4074,0.0468
2000,-0.0903,-0.1396,0.0238,-0.251,0.4992,0.0589
2001,-0.1185,-0.2121,-0.0269,-0.199,-0.3185,0.0383
2002,-0.2197,-0.1566,0.22,-0.164,0.3215,0.0165
2003,0.2836,0.3917,0.1858,0.336,0.2018,0.0102
2004,0.1074,0.207,0.0921,0.174,0.1717,0.012
2005,0.0483,0.1402,-0.0492,0.1411,0.2553,0.0298
2006,0.1561,0.2686,0.0664,0.271,-0.1521,0.048
2007,0.0548,0.1163,0.111,0.169,0.3267,0.0466
2008,-0.3655,-0.4306,0.0951,-0.488,-0.4633,0.016
2009,0.2594,0.3246,0.0639,0.645,0.134,0.001
2010,0.1482,0.0821,0.0489,0.101,0.0901,0.0012
2011,0.021,-0.1173,0.0533,-0.148,-0.0118,0.0004
2012,0.1589,0.179,0.0426,0.231,0.0001,0.0006
2013,0.3215,0.2329,-0.026,0.005,-0.0961,0.0002
2014,0.1352,-0.0448,0.085,0.064,-0.3306,0.0002
2015,0.0136,-0.0039,-0.0257,-0.1117,-0.329,0.0002
2016,0.1174,0.0151,0.0192,0.0341,0.1184,0.002
2017,0.2161,0.2562,0.1051,0.247,0.0577,0.008
2018,-0.0423,-0.1336,-0.0214,-0.067,-0.1342,0.0181
2019,0.3121,0.2266,0.0571,0.0945,0.1742,0.0214
2020,0.1802,0.0828,0.1019,-0.082,-0.236,0.0045
2021,0.2847,0.1178,-0.0714,0.131,0.4011,0.0005
2022,-0.1804,-0.1401,-0.1825,0.082,0.2599,0.0202
2023,0.2606,0.1885,0.0541,0.051,-0.0438,0.0493
2024,0.2502,0.0434,0.0212,0.086,0.0517,0.0525
